city_id,building_id
quanzhou,shop
quanzhou,tavern
shanghai,shop
shanghai,tavern
guangzhou,shop
guangzhou,tavern
hangzhou,shop
hangzhou,tavern
hangzhou,temple
hangzhou,guild
hangzhou,language_school
beijing,shop
beijing,tavern
beijing,temple
beijing,guild
beijing,language_school
changan,shop
changan,tavern
changan,temple
changan,guild
changan,workshop
changan,language_school
lanzhou,shop
lanzhou,tavern
jiuquan,shop
jiuquan,tavern
yumen,shop
anxi,shop
anxi,tavern
anxi,temple
lijiang,shop
lijiang,tavern
lhasa,shop
lhasa,tavern
lhasa,temple
lhasa,language_school
hami,shop
hami,tavern
urumqi,shop
urumqi,tavern
kucha,shop
kucha,tavern
aksu,shop
kashgar,shop
kashgar,tavern
kashgar,guild
kashgar,language_school
khotan,shop
khotan,tavern
osh,shop
osh,tavern
samarkand,shop
samarkand,tavern
samarkand,temple
samarkand,guild
samarkand,language_school
bukhara,shop
bukhara,tavern
bukhara,workshop
bukhara,language_school
balkh,shop
balkh,tavern
kabul,shop
kabul,tavern
delhi,shop
delhi,tavern
delhi,temple
delhi,guild
delhi,language_school
patna,shop
patna,tavern
allahabad,shop
allahabad,tavern
allahabad,temple
tamralipti,shop
tamralipti,tavern
cambay,shop
cambay,tavern
mashhad,shop
mashhad,tavern
nishapur,shop
nishapur,tavern
rey,shop
rey,tavern
baghdad,shop
baghdad,tavern
baghdad,temple
baghdad,guild
baghdad,workshop
baghdad,language_school
mosul,shop
mosul,tavern
aleppo,shop
aleppo,tavern
aleppo,guild
aleppo,language_school
damascus,shop
damascus,tavern
damascus,temple
damascus,workshop
antioch,shop
antioch,tavern
tripoli,shop
tripoli,tavern
gaza,shop
gaza,tavern
cairo,shop
cairo,tavern
cairo,temple
cairo,guild
cairo,language_school
hormuz,shop
hormuz,tavern
suhar,shop
suhar,tavern
medina,shop
medina,tavern
medina,temple
mecca,shop
mecca,tavern
mecca,temple
aydhab,shop
trabzon,shop
trabzon,tavern
constantinople,shop
constantinople,tavern
constantinople,temple
constantinople,guild
constantinople,workshop
constantinople,language_school
quanzhou,caravansary
shanghai,caravansary
guangzhou,caravansary
hangzhou,caravansary
beijing,caravansary
changan,caravansary
lanzhou,caravansary
jiuquan,caravansary
yumen,caravansary
anxi,caravansary
lijiang,caravansary
lhasa,caravansary
hami,caravansary
urumqi,caravansary
kucha,caravansary
aksu,caravansary
kashgar,caravansary
khotan,caravansary
osh,caravansary
samarkand,caravansary
bukhara,caravansary
balkh,caravansary
kabul,caravansary
delhi,caravansary
patna,caravansary
allahabad,caravansary
tamralipti,caravansary
cambay,caravansary
mashhad,caravansary
nishapur,caravansary
rey,caravansary
baghdad,caravansary
mosul,caravansary
aleppo,caravansary
damascus,caravansary
antioch,caravansary
tripoli,caravansary
gaza,caravansary
cairo,caravansary
hormuz,caravansary
suhar,caravansary
medina,caravansary
mecca,caravansary
aydhab,caravansary
trabzon,caravansary
constantinople,caravansary
quanzhou,workshop
samarkand,healer
baghdad,healer
changan,healer
constantinople,healer
samarkand,archive
baghdad,archive
