type_id,enum_name
money,Money
food,Food
danger,Danger
add_item,AddItem
cart_durability,CartDurability
add_companion,AddCompanion
add_skill_xp,AddSkillXp
unlock_road,UnlockRoad
change_language_proficiency,ChangeLanguageProficiency
morale,Morale
reputation,Reputation
extra_cart_durability,ExtraCartDurability
main_cart_durability,MainCartDurability
remove_item,RemoveItem
block_movement,BlockMovement
companion_injured,CompanionInjured
skip_days,SkipDays
start_quest,StartQuest
advance_quest,AdvanceQuest
complete_quest,CompleteQuest
fail_quest,FailQuest
set_quest_flag,SetQuestFlag
end_run,EndRun
mark_pending_ending,MarkPendingEnding
