event_id,choice_index,type,param,value,branch
plains_tang_patrol,1,money,,-15,
plains_tang_patrol,1,danger,,-5,
plains_tang_patrol,2,money,,-5,
plains_tang_patrol,2,danger,,-5,
plains_tang_patrol,2,add_skill_xp,Charisma,2,
plains_tang_patrol,2,change_language_proficiency,Chinese,1,
plains_tang_patrol,2,money,,-25,fail
plains_tang_patrol,2,morale,,-3,fail
plains_tang_patrol,3,danger,,-8,
plains_tang_patrol,3,reputation,,5,
plains_tang_patrol,3,add_item,paper,1,
plains_dacoit_ambush,1,danger,,12,
plains_dacoit_ambush,1,food,,-4,
plains_dacoit_ambush,1,cart_durability,,-5,
plains_dacoit_ambush,1,morale,,-5,
plains_dacoit_ambush,2,money,,-20,
plains_dacoit_ambush,2,danger,,-5,
plains_dacoit_ambush,3,money,,-10,
plains_dacoit_ambush,3,danger,,-8,
plains_dacoit_ambush,3,reputation,,3,
plains_dacoit_ambush,3,morale,,3,
plains_sogdian_merchant,1,money,,-15,
plains_sogdian_merchant,1,add_item,brocade,1,
plains_sogdian_merchant,1,add_skill_xp,Trade,2,
plains_sogdian_merchant,1,change_language_proficiency,Sogdian,1,
plains_sogdian_merchant,1,money,,-25,fail
plains_sogdian_merchant,1,add_item,brocade,1,fail
plains_sogdian_merchant,2,danger,,-3,
plains_sogdian_merchant,2,morale,,3,
plains_sogdian_merchant,3,money,,-10,
plains_sogdian_merchant,3,add_item,brocade,1,
plains_sogdian_merchant,3,morale,,3,
plains_sogdian_merchant,3,add_skill_xp,Trade,2,
plains_broken_wheel,1,cart_durability,,-3,
plains_broken_wheel,1,food,,-2,
plains_broken_wheel,1,add_skill_xp,Survival,2,
plains_broken_wheel,1,cart_durability,,-8,fail
plains_broken_wheel,1,food,,-5,fail
plains_broken_wheel,1,morale,,-3,fail
plains_broken_wheel,2,cart_durability,,-5,
plains_broken_wheel,2,extra_cart_durability,-5,1,
plains_broken_wheel,2,food,,-2,
plains_broken_wheel,3,cart_durability,,-3,
plains_broken_wheel,3,money,,-10,
plains_indian_festival,1,food,,5,
plains_indian_festival,1,morale,,8,
plains_indian_festival,1,reputation,,3,
plains_indian_festival,2,money,,-5,
plains_indian_festival,2,add_item,saffron,1,
plains_indian_festival,2,reputation,,5,
plains_indian_festival,2,morale,,5,
plains_indian_festival,2,add_skill_xp,Charisma,2,
plains_indian_festival,2,money,,-10,fail
plains_indian_festival,2,morale,,3,fail
plains_indian_festival,3,morale,,2,
plains_persian_scholar,1,remove_item,paper,1,
plains_persian_scholar,1,add_skill_xp,Survival,3,
plains_persian_scholar,1,morale,,5,
plains_persian_scholar,1,change_language_proficiency,Persian,1,
plains_persian_scholar,2,morale,,3,
plains_persian_scholar,2,add_skill_xp,Survival,1,
plains_persian_scholar,3,add_skill_xp,Survival,3,
plains_persian_scholar,3,add_skill_xp,Trade,1,
plains_persian_scholar,3,morale,,5,
plains_persian_scholar,3,change_language_proficiency,Persian,1,
plains_abbasid_deserters,1,danger,,15,
plains_abbasid_deserters,1,food,,-5,
plains_abbasid_deserters,1,cart_durability,,-6,
plains_abbasid_deserters,1,morale,,-5,
plains_abbasid_deserters,2,money,,-10,
plains_abbasid_deserters,2,danger,,-5,
plains_abbasid_deserters,2,add_skill_xp,Charisma,2,
plains_abbasid_deserters,2,change_language_proficiency,Arabic,1,
plains_abbasid_deserters,2,money,,-30,fail
plains_abbasid_deserters,2,morale,,-5,fail
plains_abbasid_deserters,3,money,,-5,
plains_abbasid_deserters,3,danger,,-10,
plains_abbasid_deserters,3,morale,,3,
plains_abandoned_camp,1,add_item,carpets,1,
plains_abandoned_camp,1,food,,3,
plains_abandoned_camp,1,add_skill_xp,Survival,1,
plains_abandoned_camp,1,danger,,3,
plains_abandoned_camp,1,food,,2,fail
plains_abandoned_camp,1,danger,,5,fail
plains_abandoned_camp,2,cart_durability,,4,
plains_abandoned_camp,2,danger,,3,
plains_abandoned_camp,3,morale,,-2,
plains_turkic_horsemen,1,danger,,15,
plains_turkic_horsemen,1,food,,-6,
plains_turkic_horsemen,1,cart_durability,,-7,
plains_turkic_horsemen,1,extra_cart_durability,-5,1,
plains_turkic_horsemen,1,morale,,-8,
plains_turkic_horsemen,2,money,,-25,
plains_turkic_horsemen,2,food,,-3,
plains_turkic_horsemen,2,danger,,-5,
plains_turkic_horsemen,3,money,,-10,
plains_turkic_horsemen,3,danger,,-5,
plains_turkic_horsemen,3,cart_durability,,-3,
plains_turkic_horsemen,3,morale,,3,
plains_cart_axle_split,1,cart_durability,,-4,
plains_cart_axle_split,1,food,,-3,
plains_cart_axle_split,1,add_skill_xp,Survival,2,
plains_cart_axle_split,1,cart_durability,,-10,fail
plains_cart_axle_split,1,food,,-5,fail
plains_cart_axle_split,1,morale,,-5,fail
plains_cart_axle_split,2,cart_durability,,-8,
plains_cart_axle_split,2,food,,-4,
plains_cart_axle_split,3,cart_durability,,-6,
plains_cart_axle_split,3,extra_cart_durability,-7,1,
plains_arab_tax_collector,1,money,,-15,
plains_arab_tax_collector,1,danger,,-3,
plains_arab_tax_collector,2,money,,-8,
plains_arab_tax_collector,2,add_skill_xp,Trade,2,
plains_arab_tax_collector,2,change_language_proficiency,Arabic,1,
plains_arab_tax_collector,2,money,,-20,fail
plains_arab_tax_collector,2,morale,,-3,fail
plains_arab_tax_collector,3,money,,-5,
plains_arab_tax_collector,3,reputation,,3,
plains_arab_tax_collector,3,danger,,-5,
plains_shepherd_camp,1,money,,-5,
plains_shepherd_camp,1,add_item,cheese,1,
plains_shepherd_camp,1,food,,3,
plains_shepherd_camp,1,morale,,3,
plains_shepherd_camp,2,food,,-2,
plains_shepherd_camp,2,morale,,5,
plains_shepherd_camp,2,danger,,-5,
plains_shepherd_camp,3,danger,,-3,
plains_buddhist_monk,1,food,,-3,
plains_buddhist_monk,1,morale,,8,
plains_buddhist_monk,1,reputation,,5,
plains_buddhist_monk,2,morale,,5,
plains_buddhist_monk,2,danger,,-3,
plains_buddhist_monk,2,change_language_proficiency,Sanskrit,1,
plains_sick_ox,1,food,,-5,
plains_sick_ox,1,extra_cart_durability,-5,1,
plains_sick_ox,2,extra_cart_durability,-8,1,
plains_sick_ox,2,morale,,-5,
plains_sick_ox,2,money,,-10,
plains_sick_ox,3,food,,-2,
plains_sick_ox,3,morale,,3,
plains_sick_ox,3,extra_cart_durability,-2,1,
plains_hidden_well,1,food,,8,
plains_hidden_well,1,morale,,5,
plains_hidden_well,1,add_skill_xp,Survival,2,
plains_hidden_well,1,food,,3,fail
plains_hidden_well,1,danger,,3,fail
plains_hidden_well,2,food,,5,
plains_hidden_well,2,danger,,5,
plains_hidden_well,3,food,,10,
plains_hidden_well,3,morale,,5,
plains_hidden_well,3,danger,,-3,
plains_wedding_procession,1,food,,5,
plains_wedding_procession,1,morale,,8,
plains_wedding_procession,2,money,,-8,
plains_wedding_procession,2,add_item,honey,1,
plains_wedding_procession,2,reputation,,5,
plains_wedding_procession,2,morale,,5,
plains_wedding_procession,2,add_skill_xp,Charisma,2,
plains_wedding_procession,2,money,,-8,fail
plains_wedding_procession,2,morale,,3,fail
plains_wedding_procession,3,morale,,2,
plains_caravanserai_ruins,1,morale,,5,
plains_caravanserai_ruins,1,danger,,-5,
plains_caravanserai_ruins,1,food,,-2,
plains_caravanserai_ruins,2,cart_durability,,5,
plains_caravanserai_ruins,2,add_skill_xp,Survival,2,
plains_caravanserai_ruins,2,money,,5,
plains_caravanserai_ruins,2,danger,,3,fail
plains_caravanserai_ruins,2,morale,,-2,fail
plains_persian_caravanserai,1,money,,-10,
plains_persian_caravanserai,1,food,,5,
plains_persian_caravanserai,1,morale,,8,
plains_persian_caravanserai,1,danger,,-8,
plains_persian_caravanserai,2,money,,10,
plains_persian_caravanserai,2,add_item,perfume,1,
plains_persian_caravanserai,2,add_skill_xp,Trade,2,
plains_persian_caravanserai,2,change_language_proficiency,Persian,1,
plains_persian_caravanserai,2,money,,-5,fail
plains_persian_caravanserai,2,add_item,perfume,1,fail
plains_persian_caravanserai,3,money,,15,
plains_persian_caravanserai,3,add_item,perfume,1,
plains_persian_caravanserai,3,morale,,5,
plains_persian_caravanserai,3,reputation,,3,
plains_loose_cargo,1,food,,-2,
plains_loose_cargo,1,cart_durability,,-2,
plains_loose_cargo,2,money,,-15,
plains_loose_cargo,2,cart_durability,,-4,
plains_loose_cargo,2,morale,,-3,
plains_loose_cargo,3,food,,-1,
plains_loose_cargo,3,add_skill_xp,Survival,1,
plains_loose_cargo,3,money,,-10,fail
plains_loose_cargo,3,cart_durability,,-3,fail
plains_damascus_bazaar,1,money,,-15,
plains_damascus_bazaar,1,add_item,glass,1,
plains_damascus_bazaar,1,add_skill_xp,Trade,2,
plains_damascus_bazaar,1,money,,-25,fail
plains_damascus_bazaar,1,add_item,glass,1,fail
plains_damascus_bazaar,2,money,,-10,
plains_damascus_bazaar,2,food,,8,
plains_damascus_bazaar,3,money,,-10,
plains_damascus_bazaar,3,add_item,glass,1,
plains_damascus_bazaar,3,food,,5,
plains_damascus_bazaar,3,add_skill_xp,Trade,2,
plains_military_conscription,1,money,,-20,
plains_military_conscription,2,add_skill_xp,Charisma,2,
plains_military_conscription,2,reputation,,3,
plains_military_conscription,2,change_language_proficiency,Chinese,1,
plains_military_conscription,2,money,,-25,fail
plains_military_conscription,2,morale,,-5,fail
plains_military_conscription,3,morale,,-8,
plains_military_conscription,3,danger,,5,
plains_hindu_pilgrims,1,food,,-3,
plains_hindu_pilgrims,1,reputation,,5,
plains_hindu_pilgrims,1,morale,,3,
plains_hindu_pilgrims,2,morale,,-2,
plains_hindu_pilgrims,3,food,,-1,
plains_hindu_pilgrims,3,reputation,,8,
plains_hindu_pilgrims,3,morale,,5,
plains_hindu_pilgrims,3,add_item,sandalwood,1,
plains_hindu_pilgrims,3,change_language_proficiency,Sanskrit,1,
plains_counterfeit_coins,1,money,,-10,
plains_counterfeit_coins,2,money,,-3,
plains_counterfeit_coins,2,add_skill_xp,Trade,2,
plains_counterfeit_coins,2,money,,-15,fail
plains_counterfeit_coins,2,reputation,,-3,fail
plains_counterfeit_coins,3,money,,-2,
