type_id,enum_name
min_money,MinMoney
max_money,MaxMoney
min_danger,MinDanger
max_danger,MaxDanger
min_food,MinFood
max_food,MaxFood
has_item,HasItem
min_cart_durability,MinCartDurability
max_cart_durability,MaxCartDurability
has_companion,HasCompanion
min_skill,MinSkill
near_node,NearNode
min_language_proficiency,MinLanguageProficiency
in_camp,InCamp
min_companions,MinCompanions
in_city,InCity
city_modifier,CityModifier
min_reputation,MinReputation
max_reputation,MaxReputation
min_morale,MinMorale
max_morale,MaxMorale
active_quest,ActiveQuest
no_active_quest,NoActiveQuest
completed_quest,CompletedQuest
quest_stage,QuestStage
quest_flag,QuestFlag
in_travel,InTravel
no_item,NoItem
danger_above,DangerAbove
not_completed_quest,NotCompletedQuest
quest_available,QuestAvailable
no_quest_flag,NoQuestFlag
has_background,HasBackground
