event_type_id,enum_name,name_key
bandit_attack,BanditAttack,event_type.bandit_attack.name
wildlife,Wildlife,event_type.wildlife.name
natural_disaster,NaturalDisaster,event_type.natural_disaster.name
hazard,Hazard,event_type.hazard.name
encounter,Encounter,event_type.encounter.name
caravan_trouble,CaravanTrouble,event_type.caravan_trouble.name
discovery,Discovery,event_type.discovery.name
companion,Companion,event_type.companion.name
crisis,Crisis,event_type.crisis.name
crisis_danger,CrisisDanger,event_type.crisis.name
crisis_morale,CrisisMorale,event_type.crisis.name
crisis_cart,CrisisCart,event_type.crisis.name
crisis_famine,CrisisFamine,event_type.crisis.name
crisis_money,CrisisMoney,event_type.crisis.name
camp_forage,CampForage,event_type.camp.name
camp_rest,CampRest,event_type.camp.name
camp_repair,CampRepair,event_type.camp.name
camp_order,CampOrder,event_type.camp.name
camp_any,CampAny,event_type.camp.name
combat,Combat,event_type.combat.name
encounter_language,EncounterLanguage,event_type.encounter_language.name
mystery,Mystery,event_type.mystery.name
mystical,Mystical,event_type.mystical.name
natural,Natural,event_type.natural.name
navigation,Navigation,event_type.navigation.name
trade,Trade,event_type.trade.name
minor_road,MinorRoad,event_type.minor_road.name
minor_caravan,MinorCaravan,event_type.minor_caravan.name
minor_encounter,MinorEncounter,event_type.minor_encounter.name
minor_omen,MinorOmen,event_type.minor_omen.name
quest,Quest,event_type.quest.name
