branch_id,enum_name,name_key,description_key
empire_of_trade,EmpireOfTrade,quest_branch.empire_of_trade.name,quest_branch.empire_of_trade.description
path_of_mystic,PathOfMystic,quest_branch.path_of_mystic.name,quest_branch.path_of_mystic.description
path_of_caravaneer,PathOfCaravaneer,quest_branch.path_of_caravaneer.name,quest_branch.path_of_caravaneer.description
secrets_of_silk,SecretsOfSilk,quest_branch.secrets_of_silk.name,quest_branch.secrets_of_silk.description
legend_of_artifacts,LegendOfArtifacts,quest_branch.legend_of_artifacts.name,quest_branch.legend_of_artifacts.description
bg_merchant_story,BgMerchantStory,quest_branch.bg_merchant_story.name,quest_branch.bg_merchant_story.description
bg_caravaneer_story,BgCaravaneerStory,quest_branch.bg_caravaneer_story.name,quest_branch.bg_caravaneer_story.description
bg_wanderer_story,BgWandererStory,quest_branch.bg_wanderer_story.name,quest_branch.bg_wanderer_story.description
bg_diplomat_story,BgDiplomatStory,quest_branch.bg_diplomat_story.name,quest_branch.bg_diplomat_story.description
bg_smuggler_story,BgSmugglerStory,quest_branch.bg_smuggler_story.name,quest_branch.bg_smuggler_story.description
bg_bandit_story,BgBanditStory,quest_branch.bg_bandit_story.name,quest_branch.bg_bandit_story.description
bg_scholar_story,BgScholarStory,quest_branch.bg_scholar_story.name,quest_branch.bg_scholar_story.description
bg_pilgrim_story,BgPilgrimStory,quest_branch.bg_pilgrim_story.name,quest_branch.bg_pilgrim_story.description
