quest_id,reward_type,target,value
quest_empire_1,money,,20
quest_empire_1,reputation,,5
quest_empire_1,item,carpet,1
quest_empire_2,money,,30
quest_empire_2,reputation,,10
quest_empire_2,item,spices,2
quest_empire_3,money,,50
quest_empire_3,reputation,,10
quest_empire_3,item,ceramics,3
quest_empire_4,money,,40
quest_empire_4,reputation,,10
quest_empire_4,item,gold,2
quest_empire_5,money,,150
quest_empire_5,reputation,,20
quest_empire_5,item,spices,5
quest_empire_5,status,trade_master,1
quest_mystic_1,money,,15
quest_mystic_1,reputation,,5
quest_mystic_2,reputation,,10
quest_mystic_3,money,,30
quest_mystic_3,reputation,,10
quest_mystic_4,reputation,,15
quest_mystic_5,status,spiritual_trader,1
quest_mystic_5,unlock_route,mountain_pass,1
quest_caravaneer_1,money,,20
quest_caravaneer_1,reputation,,5
quest_caravaneer_2,money,,30
quest_caravaneer_2,reputation,,10
quest_caravaneer_3,money,,40
quest_caravaneer_3,reputation,,10
quest_caravaneer_4,money,,50
quest_caravaneer_4,reputation,,15
quest_caravaneer_5,status,road_hero,1
quest_silk_1,money,,15
quest_silk_1,reputation,,5
quest_silk_2,money,,25
quest_silk_2,reputation,,10
quest_silk_3,money,,40
quest_silk_3,reputation,,10
quest_silk_4,money,,50
quest_silk_4,reputation,,15
quest_silk_5,status,silk_master,1
quest_silk_5,unlock_item,imperial_silk,1
quest_artifact_1,money,,20
quest_artifact_1,reputation,,5
quest_artifact_2,money,,30
quest_artifact_2,reputation,,10
quest_artifact_3,money,,40
quest_artifact_3,reputation,,10
quest_artifact_4,money,,60
quest_artifact_4,reputation,,15
quest_artifact_5,money,,200
quest_artifact_5,status,treasure_collector,1
