quest_id,name_key,description_key,icon_name,branch_id,order_in_branch,start_city_id,giver_building,briefing_event_id
quest_empire_1,quest.quest_empire_1.name,quest.quest_empire_1.description,,empire_of_trade,1,samarkand,Guild,quest_empire_start
quest_empire_2,quest.quest_empire_2.name,quest.quest_empire_2.description,,empire_of_trade,2,samarkand,Guild,quest_empire2_start
quest_empire_3,quest.quest_empire_3.name,quest.quest_empire_3.description,,empire_of_trade,3,samarkand,Guild,quest_empire3_start
quest_empire_4,quest.quest_empire_4.name,quest.quest_empire_4.description,,empire_of_trade,4,mashhad,Tavern,quest_empire4_start
quest_empire_5,quest.quest_empire_5.name,quest.quest_empire_5.description,,empire_of_trade,5,baghdad,Guild,quest_empire5_start
quest_mystic_1,quest.quest_mystic_1.name,quest.quest_mystic_1.description,,path_of_mystic,1,samarkand,Temple,quest_mystic_start
quest_mystic_2,quest.quest_mystic_2.name,quest.quest_mystic_2.description,,path_of_mystic,2,anxi,Temple,quest_mystic2_start
quest_mystic_3,quest.quest_mystic_3.name,quest.quest_mystic_3.description,,path_of_mystic,3,anxi,Temple,quest_mystic3_start
quest_mystic_4,quest.quest_mystic_4.name,quest.quest_mystic_4.description,,path_of_mystic,4,lhasa,Temple,quest_mystic4_start
quest_mystic_5,quest.quest_mystic_5.name,quest.quest_mystic_5.description,,path_of_mystic,5,lhasa,Temple,quest_mystic5_start
quest_caravaneer_1,quest.quest_caravaneer_1.name,quest.quest_caravaneer_1.description,,path_of_caravaneer,1,,Barracks,quest_caravaneer_start
quest_caravaneer_2,quest.quest_caravaneer_2.name,quest.quest_caravaneer_2.description,,path_of_caravaneer,2,anxi,Tavern,quest_caravaneer2_start
quest_caravaneer_3,quest.quest_caravaneer_3.name,quest.quest_caravaneer_3.description,,path_of_caravaneer,3,mashhad,Tavern,quest_caravaneer3_start
quest_caravaneer_4,quest.quest_caravaneer_4.name,quest.quest_caravaneer_4.description,,path_of_caravaneer,4,bukhara,Tavern,quest_caravaneer4_start
quest_caravaneer_5,quest.quest_caravaneer_5.name,quest.quest_caravaneer_5.description,,path_of_caravaneer,5,baghdad,Guild,quest_caravaneer5_start
quest_silk_1,quest.quest_silk_1.name,quest.quest_silk_1.description,,secrets_of_silk,1,changan,Workshop,quest_silk_start
quest_silk_2,quest.quest_silk_2.name,quest.quest_silk_2.description,,secrets_of_silk,2,changan,Workshop,quest_silk2_start
quest_silk_3,quest.quest_silk_3.name,quest.quest_silk_3.description,,secrets_of_silk,3,changan,Workshop,quest_silk3_start
quest_silk_4,quest.quest_silk_4.name,quest.quest_silk_4.description,,secrets_of_silk,4,changan,Workshop,quest_silk4_start
quest_silk_5,quest.quest_silk_5.name,quest.quest_silk_5.description,,secrets_of_silk,5,changan,Workshop,quest_silk5_start
quest_artifact_1,quest.quest_artifact_1.name,quest.quest_artifact_1.description,,legend_of_artifacts,1,samarkand,Archive,quest_artifact_start
quest_artifact_3,quest.quest_artifact_3.name,quest.quest_artifact_3.description,,legend_of_artifacts,2,samarkand,Archive,quest_artifact3_start
