key,source_sheet,source_row,ru,en
event.road_discover_R_N_Urumqi__N_Kucha.name,road_events,,Заросшая тропа,Overgrown Trail
event.road_discover_R_N_Urumqi__N_Kucha.description,road_events,,"Сквозь густые заросли проглядывает старая, почти забытая дорога. Выбоины от колёс давно заросли травой, но направление ещё угадывается. Местные обходят это место стороной — говорят, путь опасен.","An old, nearly forgotten road peers through dense undergrowth. Wheel ruts have long been swallowed by grass, but the direction is still discernible. Locals avoid this place — they say the path is treacherous."
event.road_discover_R_N_Urumqi__N_Kucha.choice1,road_events,,Расчистить путь,Clear the path
event.road_discover_R_N_Urumqi__N_Kucha.choice1.result,road_events,,Караван прокладывает дорогу сквозь заросли. За поворотом открывается пригодный для движения тракт — новый маршрут найден!,"The caravan cuts through the overgrowth. Around the bend, a passable road opens up — a new route discovered!"
event.road_discover_R_N_Urumqi__N_Kucha.choice1.fail,road_events,,"Заросли оказались непроходимы — караван вернулся на основную дорогу, потеряв время и нервы.","The undergrowth proved impassable — the caravan returned to the main road, losing time and morale."
event.road_discover_R_N_Urumqi__N_Kucha.choice2,road_events,,Не рисковать,Don't risk it
event.road_discover_R_N_Urumqi__N_Kucha.choice2.result,road_events,,Вы решаете не сходить с проверенного пути. Заросшая тропа остаётся позади.,You decide to stick to the known road. The overgrown trail fades behind you.
event.road_encounter_R_N_Urumqi__N_Kucha.name,road_events,,Старый проводник,The Old Guide
event.road_encounter_R_N_Urumqi__N_Kucha.description,road_events,,"Седой старик в пыльном халате сидит у обочины, чертя палкой на земле. Увидев караван, он поднимает голову и говорит, что знает дорогу, которую не показывают на картах. За небольшую плату он готов указать путь.","A grey-haired old man in a dusty robe sits by the roadside, drawing in the dirt with a stick. Seeing the caravan, he looks up and says he knows a road not shown on any map. For a small fee, he'll point the way."
event.road_encounter_R_N_Urumqi__N_Kucha.choice1,road_events,,Заплатить и выслушать,Pay and listen
event.road_encounter_R_N_Urumqi__N_Kucha.choice1.result,road_events,,"Старик рисует на песке подробную карту. Его глаза блестят — он явно рад, что кто-то наконец воспользуется его знанием. Новый путь открыт!",The old man draws a detailed map in the sand. His eyes gleam — he is clearly glad someone will finally use his knowledge. A new route is revealed!
event.road_encounter_R_N_Urumqi__N_Kucha.choice2,road_events,,Отказаться,Refuse
event.road_encounter_R_N_Urumqi__N_Kucha.choice2.result,road_events,,Старик пожимает плечами и снова склоняется к своим рисункам на земле.,The old man shrugs and bends back over his drawings in the dirt.
event.road_quest_R_N_Urumqi__N_Kucha.name,road_events,,Долг караванщика,Caravan Master's Debt
event.road_quest_R_N_Urumqi__N_Kucha.description,road_events,,"Бывалый караванщик догоняет ваш отряд. Он говорит, что обязан вам жизнью — в прошлый раз вы помогли его людям на переправе. В благодарность он готов открыть секретный маршрут, которым пользуются только избранные торговцы.","A seasoned caravan master catches up with your party. He says he owes you his life — you helped his people at a crossing once before. In gratitude, he offers to reveal a secret route used only by select merchants."
event.road_quest_R_N_Urumqi__N_Kucha.choice1,road_events,,Принять благодарность,Accept the gratitude
event.road_quest_R_N_Urumqi__N_Kucha.choice1.result,road_events,,Караванщик разворачивает потайную карту и подробно описывает каждый поворот. Теперь этот путь открыт и для вас!,The caravan master unfolds a hidden map and describes every turn in detail. This route is now open to you as well!
event.road_quest_R_N_Urumqi__N_Kucha.choice2,road_events,,Вежливо отказать,Politely decline
event.road_quest_R_N_Urumqi__N_Kucha.choice2.result,road_events,,"Караванщик кланяется и уходит, унося свой секрет.","The caravan master bows and departs, taking his secret with him."
