unlock_id,name_key,description_key,category,cost,icon
unlock_background_princess,unlock.unlock_background_princess.name,unlock.unlock_background_princess.description,Background,50,
unlock_startitem_silk,unlock.unlock_startitem_silk.name,unlock.unlock_startitem_silk.description,StartItem,30,
unlock_route_southern,unlock.unlock_route_southern.name,unlock.unlock_route_southern.description,Route,40,
unlock_upgrade_reinforced_harness,unlock.unlock_upgrade_reinforced_harness.name,unlock.unlock_upgrade_reinforced_harness.description,CaravanUpgrade,50,
unlock_background_smuggler,unlock.unlock_background_smuggler.name,unlock.unlock_background_smuggler.description,Background,75,
unlock_background_scholar,unlock.unlock_background_scholar.name,unlock.unlock_background_scholar.description,Background,50,
unlock_startitem_dried_meat,unlock.unlock_startitem_dried_meat.name,unlock.unlock_startitem_dried_meat.description,StartItem,20,
unlock_startitem_tea,unlock.unlock_startitem_tea.name,unlock.unlock_startitem_tea.description,StartItem,20,
unlock_startitem_paper,unlock.unlock_startitem_paper.name,unlock.unlock_startitem_paper.description,StartItem,25,
unlock_startitem_spices,unlock.unlock_startitem_spices.name,unlock.unlock_startitem_spices.description,StartItem,35,
unlock_route_china,unlock.unlock_route_china.name,unlock.unlock_route_china.description,Route,30,
unlock_route_central_asia,unlock.unlock_route_central_asia.name,unlock.unlock_route_central_asia.description,Route,40,
unlock_route_persia,unlock.unlock_route_persia.name,unlock.unlock_route_persia.description,Route,50,
unlock_route_arabia,unlock.unlock_route_arabia.name,unlock.unlock_route_arabia.description,Route,50,
unlock_route_india,unlock.unlock_route_india.name,unlock.unlock_route_india.description,Route,60,
unlock_route_byzantine,unlock.unlock_route_byzantine.name,unlock.unlock_route_byzantine.description,Route,70,
unlock_upgrade_sturdy_wheels,unlock.unlock_upgrade_sturdy_wheels.name,unlock.unlock_upgrade_sturdy_wheels.description,CaravanUpgrade,40,
unlock_upgrade_sealed_containers,unlock.unlock_upgrade_sealed_containers.name,unlock.unlock_upgrade_sealed_containers.description,CaravanUpgrade,30,
unlock_upgrade_repair_kit,unlock.unlock_upgrade_repair_kit.name,unlock.unlock_upgrade_repair_kit.description,CaravanUpgrade,45,
unlock_upgrade_road_lanterns,unlock.unlock_upgrade_road_lanterns.name,unlock.unlock_upgrade_road_lanterns.description,CaravanUpgrade,30,
